key,format,sourcePath,defaultScale,semanticRole,objectKind,description,size.sourceSize,size.authoredDefaultSize,size.renderedDefaultSize,colors.materialColors,colors.prominentRenderedColors,animations,warnings
animal_horse,gltf,gltf/creatures/animal_action_variants/harthmere_animal_horse_bay.gltf,1.1,actor,actor,"animal horse (actor); 1.2954m x 2.5137m x 6.2965m. Dominant colors: orange/gold, mixed, red/brown.","{""x"":1.1776,""y"":2.2852,""z"":5.7241}","{""x"":1.2954,""y"":2.5137,""z"":6.2965}","{""x"":1.2954,""y"":2.5137,""z"":6.2965}","[{""name"":""body"",""hex"":""#a67350""},{""name"":""head"",""hex"":""#b17c59""},{""name"":""accent"",""hex"":""#3f3830""},{""name"":""eye"",""hex"":""#272727""}]","[{""hex"":""#ffc080"",""pixels"":1928},{""hex"":""#ffe0c0"",""pixels"":1227},{""hex"":""#ffe0a0"",""pixels"":700},{""hex"":""#806060"",""pixels"":669},{""hex"":""#ffc0a0"",""pixels"":451},{""hex"":""#ffffc0"",""pixels"":180},{""hex"":""#a08080"",""pixels"":172},{""hex"":""#c0a080"",""pixels"":42}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_deer,gltf,gltf/creatures/animal_action_variants/harthmere_animal_deer_doe.gltf,1,actor,actor,"animal deer (actor); 0.72m x 1.5819m x 3.0587m. Dominant colors: white/light, mixed, gray/stone.","{""x"":0.72,""y"":1.5819,""z"":3.0587}","{""x"":0.72,""y"":1.5819,""z"":3.0587}","{""x"":0.72,""y"":1.5819,""z"":3.0587}","[{""name"":""body"",""hex"":""#c8a276""},{""name"":""head"",""hex"":""#d4b186""},{""name"":""accent"",""hex"":""#f3e5c8""},{""name"":""eye"",""hex"":""#272727""},{""name"":""cream"",""hex"":""#f6efd7""}]","[{""hex"":""#ffffe0"",""pixels"":3204},{""hex"":""#ffffc0"",""pixels"":2700},{""hex"":""#ffffff"",""pixels"":1405},{""hex"":""#606060"",""pixels"":22},{""hex"":""#808080"",""pixels"":6},{""hex"":""#a0a0a0"",""pixels"":4},{""hex"":""#e0e0e0"",""pixels"":3},{""hex"":""#c0c0c0"",""pixels"":2}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_wolf,gltf,gltf/creatures/animal_action_variants/harthmere_animal_wolf_gray.gltf,1,actor,actor,"animal wolf (actor); 0.903m x 0.9728m x 3.6665m. Dominant colors: white/light, mixed, gray/stone, blue.","{""x"":0.903,""y"":0.9728,""z"":3.6665}","{""x"":0.903,""y"":0.9728,""z"":3.6665}","{""x"":0.903,""y"":0.9728,""z"":3.6665}","[{""name"":""body"",""hex"":""#a6aaad""},{""name"":""head"",""hex"":""#b8bcbf""},{""name"":""accent"",""hex"":""#61696c""},{""name"":""eye"",""hex"":""#272727""}]","[{""hex"":""#ffffff"",""pixels"":3910},{""hex"":""#a0c0c0"",""pixels"":261},{""hex"":""#c0c0c0"",""pixels"":162},{""hex"":""#c0e0e0"",""pixels"":153},{""hex"":""#e0e0e0"",""pixels"":104},{""hex"":""#c0c0e0"",""pixels"":18},{""hex"":""#606060"",""pixels"":12},{""hex"":""#a0a0c0"",""pixels"":6}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_boar,gltf,gltf/creatures/animal_action_variants/harthmere_animal_boar_brown.gltf,0.98,actor,actor,"animal boar (actor); 1.0055m x 0.8203m x 2.6763m. Dominant colors: white/light, mixed, orange/gold.","{""x"":1.026,""y"":0.837,""z"":2.7309}","{""x"":1.0055,""y"":0.8203,""z"":2.6763}","{""x"":1.0055,""y"":0.8203,""z"":2.6763}","[{""name"":""body"",""hex"":""#ad8965""},{""name"":""head"",""hex"":""#bf9b76""},{""name"":""accent"",""hex"":""#695038""},{""name"":""eye"",""hex"":""#272727""},{""name"":""cream"",""hex"":""#f6efd7""}]","[{""hex"":""#ffffe0"",""pixels"":3407},{""hex"":""#ffe0a0"",""pixels"":1472},{""hex"":""#ffffc0"",""pixels"":901},{""hex"":""#c08060"",""pixels"":162},{""hex"":""#c0a060"",""pixels"":159},{""hex"":""#e0c080"",""pixels"":105},{""hex"":""#ffffff"",""pixels"":59},{""hex"":""#e0c0a0"",""pixels"":55}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_bear,gltf,gltf/creatures/animal_action_variants/harthmere_animal_bear_black.gltf,1.18,actor,actor,"animal bear (actor); 1.9677m x 1.9931m x 4.7088m. Dominant colors: gray/stone, blue.","{""x"":1.6675,""y"":1.6891,""z"":3.9905}","{""x"":1.9677,""y"":1.9931,""z"":4.7088}","{""x"":1.9676,""y"":1.9932,""z"":4.7087}","[{""name"":""body"",""hex"":""#505055""},{""name"":""head"",""hex"":""#616169""},{""name"":""accent"",""hex"":""#272730""},{""name"":""eye"",""hex"":""#272727""}]","[{""hex"":""#c0c0c0"",""pixels"":3517},{""hex"":""#8080a0"",""pixels"":2498},{""hex"":""#a0a0a0"",""pixels"":925},{""hex"":""#606060"",""pixels"":767},{""hex"":""#c0c0e0"",""pixels"":622},{""hex"":""#a0a0c0"",""pixels"":614},{""hex"":""#808080"",""pixels"":175},{""hex"":""#e0e0e0"",""pixels"":75}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_fox,gltf,gltf/creatures/animal_action_variants/harthmere_animal_fox_red.gltf,0.85,actor,actor,"animal fox (actor); 0.4712m x 0.5033m x 2.1251m. Dominant colors: mixed, white/light, gray/stone.","{""x"":0.5544,""y"":0.5921,""z"":2.5001}","{""x"":0.4712,""y"":0.5033,""z"":2.1251}","{""x"":0.4712,""y"":0.5033,""z"":2.1251}","[{""name"":""body"",""hex"":""#e59561""},{""name"":""head"",""hex"":""#f3ad6f""},{""name"":""accent"",""hex"":""#f6ecda""},{""name"":""eye"",""hex"":""#272727""}]","[{""hex"":""#ffffc0"",""pixels"":1717},{""hex"":""#ffffa0"",""pixels"":952},{""hex"":""#ffffff"",""pixels"":890},{""hex"":""#ffffe0"",""pixels"":450},{""hex"":""#606060"",""pixels"":15},{""hex"":""#808080"",""pixels"":6},{""hex"":""#e0e0e0"",""pixels"":3},{""hex"":""#c0c0a0"",""pixels"":3}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_crow,gltf,gltf/creatures/animal_action_variants/harthmere_animal_pigeon_blue.gltf,0.72,actor,actor,"animal crow (actor); 0.171m x 0.2053m x 0.2711m. Dominant colors: white/light, blue, gray/stone.","{""x"":0.2375,""y"":0.2852,""z"":0.3765}","{""x"":0.171,""y"":0.2053,""z"":0.2711}","{""x"":0.171,""y"":0.2053,""z"":0.2711}","[{""name"":""body"",""hex"":""#909eb3""},{""name"":""head"",""hex"":""#a2adc4""},{""name"":""accent"",""hex"":""#596176""},{""name"":""eye"",""hex"":""#272727""},{""name"":""cream"",""hex"":""#f6efd7""}]","[{""hex"":""#ffffff"",""pixels"":8213},{""hex"":""#c0c0e0"",""pixels"":1487},{""hex"":""#80a0c0"",""pixels"":1290},{""hex"":""#a0c0e0"",""pixels"":1260},{""hex"":""#a0a0c0"",""pixels"":1070},{""hex"":""#606060"",""pixels"":195},{""hex"":""#e0e0e0"",""pixels"":141},{""hex"":""#c0e0e0"",""pixels"":138}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
animal_rat,gltf,gltf/creatures/animal_action_variants/harthmere_animal_rat_gray.gltf,0.65,actor,actor,"animal rat (actor); 0.0928m x 0.0713m x 0.4788m. Dominant colors: white/light, mixed, gray/stone, blue.","{""x"":0.1428,""y"":0.1097,""z"":0.7366}","{""x"":0.0928,""y"":0.0713,""z"":0.4788}","{""x"":0.0928,""y"":0.0713,""z"":0.4788}","[{""name"":""body"",""hex"":""#a6aaad""},{""name"":""head"",""hex"":""#b8bcbf""},{""name"":""accent"",""hex"":""#61696c""},{""name"":""eye"",""hex"":""#272727""}]","[{""hex"":""#ffffff"",""pixels"":1926},{""hex"":""#c0e0e0"",""pixels"":286},{""hex"":""#c0c0c0"",""pixels"":193},{""hex"":""#a0c0c0"",""pixels"":136},{""hex"":""#e0e0e0"",""pixels"":115},{""hex"":""#c0c0e0"",""pixels"":31},{""hex"":""#606060"",""pixels"":28},{""hex"":""#808080"",""pixels"":12}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":1},{""name"":""Running"",""duration"":1},{""name"":""Flee"",""duration"":1},{""name"":""Attack"",""duration"":1},{""name"":""HeavyAttack"",""duration"":1.2},{""name"":""Bite"",""duration"":1},{""name"":""Claw"",""duration"":1},{""name"":""Kick"",""duration"":1},{""name"":""Charge"",""duration"":1.2},{""name"":""Pounce"",""duration"":1},{""name"":""Peck"",""duration"":1},{""name"":""Scratch"",""duration"":1},{""name"":""TailWhip"",""duration"":1}]",[]
townsperson_guard,gltf,gltf/characters/player_body_variants/harthmere_player_broad_ash.gltf,0.92,actor,actor,"townsperson guard (actor); 1.2021m x 2.5832m x 0.4232m. Dominant colors: white/light, mixed.","{""x"":1.3066,""y"":2.8078,""z"":0.46}","{""x"":1.2021,""y"":2.5832,""z"":0.4232}","{""x"":1.2021,""y"":2.5832,""z"":0.4232}","[{""name"":""outfit_ash"",""hex"":""#86898b""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#e0ffff"",""pixels"":3900},{""hex"":""#ffffff"",""pixels"":2390},{""hex"":""#e0e0e0"",""pixels"":1426},{""hex"":""#ffffe0"",""pixels"":362},{""hex"":""#c0a0a0"",""pixels"":89},{""hex"":""#c0a080"",""pixels"":46},{""hex"":""#a08080"",""pixels"":20},{""hex"":""#e0c0c0"",""pixels"":14}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_courier,gltf,gltf/characters/player_body_variants/harthmere_player_slim_river.gltf,0.88,actor,actor,"townsperson courier (actor); 0.8224m x 2.5122m x 0.3562m. Dominant colors: mixed, white/light.","{""x"":0.9345,""y"":2.8548,""z"":0.4048}","{""x"":0.8224,""y"":2.5122,""z"":0.3562}","{""x"":0.8224,""y"":2.5122,""z"":0.3562}","[{""name"":""outfit_river"",""hex"":""#6999c2""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#c0ffff"",""pixels"":3949},{""hex"":""#ffffff"",""pixels"":1343},{""hex"":""#e0ffff"",""pixels"":421},{""hex"":""#ffffe0"",""pixels"":237},{""hex"":""#e0ffe0"",""pixels"":56},{""hex"":""#c0a0a0"",""pixels"":50},{""hex"":""#c0a080"",""pixels"":32},{""hex"":""#a08080"",""pixels"":15}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_dockhand,gltf,gltf/characters/player_body_variants/harthmere_player_stocky_river.gltf,0.9,actor,actor,"townsperson dockhand (actor); 1.1225m x 2.401m x 0.445m. Dominant colors: mixed, white/light.","{""x"":1.2472,""y"":2.6678,""z"":0.4944}","{""x"":1.1225,""y"":2.401,""z"":0.445}","{""x"":1.1225,""y"":2.4011,""z"":0.4449}","[{""name"":""outfit_river"",""hex"":""#6999c2""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#c0ffff"",""pixels"":5478},{""hex"":""#ffffff"",""pixels"":1983},{""hex"":""#e0ffff"",""pixels"":917},{""hex"":""#ffffe0"",""pixels"":422},{""hex"":""#c0a0a0"",""pixels"":115},{""hex"":""#e0ffe0"",""pixels"":85},{""hex"":""#c0a080"",""pixels"":52},{""hex"":""#a08080"",""pixels"":30}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_mudden,gltf,gltf/characters/player_body_variants/harthmere_player_average_earth.gltf,0.9,actor,actor,"townsperson mudden (actor); 0.9949m x 2.5212m x 0.3974m. Dominant colors: mixed, white/light.","{""x"":1.1054,""y"":2.8013,""z"":0.4416}","{""x"":0.9949,""y"":2.5212,""z"":0.3974}","{""x"":0.9949,""y"":2.5212,""z"":0.3974}","[{""name"":""outfit_earth"",""hex"":""#a88e6c""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#ffffc0"",""pixels"":4770},{""hex"":""#ffffff"",""pixels"":1609},{""hex"":""#ffffe0"",""pixels"":843},{""hex"":""#c0a0a0"",""pixels"":72},{""hex"":""#ffe0e0"",""pixels"":49},{""hex"":""#c0a080"",""pixels"":46},{""hex"":""#a08080"",""pixels"":20},{""hex"":""#e0c0c0"",""pixels"":13}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_farmer,gltf,gltf/characters/player_body_variants/harthmere_player_average_forest.gltf,0.9,actor,nature_or_resource,"townsperson farmer (nature_or_resource); 0.9949m x 2.5212m x 0.3974m. Dominant colors: mixed, white/light.","{""x"":1.1054,""y"":2.8013,""z"":0.4416}","{""x"":0.9949,""y"":2.5212,""z"":0.3974}","{""x"":0.9949,""y"":2.5212,""z"":0.3974}","[{""name"":""outfit_forest"",""hex"":""#65a27c""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#c0ffe0"",""pixels"":3575},{""hex"":""#ffffff"",""pixels"":1594},{""hex"":""#a0ffe0"",""pixels"":1216},{""hex"":""#e0ffff"",""pixels"":418},{""hex"":""#ffffe0"",""pixels"":314},{""hex"":""#e0ffe0"",""pixels"":139},{""hex"":""#c0a0a0"",""pixels"":72},{""hex"":""#c0a080"",""pixels"":46}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_clergy,gltf,gltf/characters/player_body_variants/harthmere_player_soft_royal.gltf,0.88,actor,actor,"townsperson clergy (actor); 1.0266m x 2.4357m x 0.4103m. Dominant colors: white/light, mixed.","{""x"":1.1666,""y"":2.7678,""z"":0.4663}","{""x"":1.0266,""y"":2.4357,""z"":0.4103}","{""x"":1.0266,""y"":2.4357,""z"":0.4103}","[{""name"":""outfit_royal"",""hex"":""#9e7cc8""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#ffe0ff"",""pixels"":5282},{""hex"":""#ffffff"",""pixels"":2367},{""hex"":""#ffffe0"",""pixels"":368},{""hex"":""#c0a0a0"",""pixels"":91},{""hex"":""#c0a080"",""pixels"":54},{""hex"":""#a08080"",""pixels"":22},{""hex"":""#e0c0c0"",""pixels"":9},{""hex"":""#e0e0e0"",""pixels"":8}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_hunter,gltf,gltf/characters/player_body_variants/harthmere_player_athletic_forest.gltf,0.9,actor,nature_or_resource,"townsperson hunter (nature_or_resource); 1.1034m x 2.6112m x 0.3974m. Dominant colors: mixed, white/light.","{""x"":1.226,""y"":2.9013,""z"":0.4416}","{""x"":1.1034,""y"":2.6112,""z"":0.3974}","{""x"":1.1034,""y"":2.6112,""z"":0.3974}","[{""name"":""outfit_forest"",""hex"":""#65a27c""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#c0ffe0"",""pixels"":3852},{""hex"":""#ffffff"",""pixels"":1491},{""hex"":""#a0ffe0"",""pixels"":1332},{""hex"":""#e0ffff"",""pixels"":415},{""hex"":""#ffffe0"",""pixels"":299},{""hex"":""#e0ffe0"",""pixels"":133},{""hex"":""#c0a0a0"",""pixels"":67},{""hex"":""#c0a080"",""pixels"":42}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
townsperson_bandit,gltf,gltf/characters/player_body_variants/harthmere_player_athletic_ash.gltf,0.9,actor,actor,"townsperson bandit (actor); 1.1034m x 2.6112m x 0.3974m. Dominant colors: white/light, mixed.","{""x"":1.226,""y"":2.9013,""z"":0.4416}","{""x"":1.1034,""y"":2.6112,""z"":0.3974}","{""x"":1.1034,""y"":2.6112,""z"":0.3974}","[{""name"":""outfit_ash"",""hex"":""#86898b""},{""name"":""skin_warm_default"",""hex"":""#dfc5aa""},{""name"":""hair_dark_voxel"",""hex"":""#61503f""},{""name"":""eye_black"",""hex"":""#38383f""},{""name"":""skin_shadow_default"",""hex"":""#bc9e81""}]","[{""hex"":""#e0ffff"",""pixels"":3526},{""hex"":""#ffffff"",""pixels"":2007},{""hex"":""#e0e0e0"",""pixels"":1339},{""hex"":""#ffffe0"",""pixels"":304},{""hex"":""#e0e0ff"",""pixels"":147},{""hex"":""#c0a0a0"",""pixels"":67},{""hex"":""#c0a080"",""pixels"":42},{""hex"":""#a08080"",""pixels"":17}]","[{""name"":""Idle"",""duration"":1},{""name"":""Walk"",""duration"":1},{""name"":""Walking"",""duration"":1},{""name"":""Run"",""duration"":0.6},{""name"":""Running"",""duration"":0.6},{""name"":""RunningBackward"",""duration"":0.6},{""name"":""StrafeLeftWalking"",""duration"":1},{""name"":""StrafeRightWalking"",""duration"":1},{""name"":""StrafeLeftRunning"",""duration"":1},{""name"":""StrafeRightRunning"",""duration"":1},{""name"":""SidestepLeft"",""duration"":1},{""name"":""SidestepRight"",""duration"":1},{""name"":""Sidestep"",""duration"":1},{""name"":""CrouchIdle"",""duration"":1},{""name"":""CrouchWalking"",""duration"":1},{""name"":""Attack"",""duration"":1}]",[]
