key,galoisPath,rel,format,objectKind,description,size.sourceSize,size.renderedDefaultSize,publicPath,iconPublicPath,linkedBikkieDisplayNames,warnings
quests_paper_blue,placeables/quests/paper_blue,quests/paper_blue,gltf,wall_or_display_decor,"quests paper blue (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, blue.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_blue.6f4653eae00c33e2a7b7aa1348a84d46.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_blue.937c2ee726e5f4dfcbdfd5f7ddac3107.png,[],[]
quests_paper_green,placeables/quests/paper_green,quests/paper_green,gltf,wall_or_display_decor,quests paper green (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: green.,"{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_green.be5569e4f3c0e40b824eeded6a39ddcb.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_green.175589ac43dba09078cff54d93a4ea0f.png,[],[]
quests_paper_orange,placeables/quests/paper_orange,quests/paper_orange,gltf,wall_or_display_decor,"quests paper orange (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: orange/gold, wood/brown, mixed.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_orange.5466e94db380066247e7a55e23c14265.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_orange.128ea695ea646e8574137b5d2c01b16f.png,[],[]
quests_paper_pink,placeables/quests/paper_pink,quests/paper_pink,gltf,wall_or_display_decor,"quests paper pink (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, white/light, orange/gold.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_pink.4ce92a9e710f6e4598f61c4a9e62fce0.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_pink.9872f64b2ec73bfee3420ea7215cc793.png,[],[]
quests_paper_purple,placeables/quests/paper_purple,quests/paper_purple,gltf,wall_or_display_decor,"quests paper purple (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, white/light, blue.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_purple.35174d3673b7e68829761df2c3260178.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_purple.51ab6a0e6971a51ceb586c3b41533fc5.png,[],[]
quests_paper_red,placeables/quests/paper_red,quests/paper_red,gltf,wall_or_display_decor,"quests paper red (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: red/brown, orange/gold.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_red.0b18a6e0e0624bf2e564232171c55ecc.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_red.8321debd31280578486b0c5d9227005a.png,[],[]
quests_paper_white,placeables/quests/paper_white,quests/paper_white,gltf,wall_or_display_decor,quests paper white (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: white/light.,"{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_white.feca0c4ea03cbb4ad69312b0fdb3a859.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_white.f001958f688fe1ac66242da96bbd9a2f.png,[],[]
quests_paper_written,placeables/quests/paper_written,quests/paper_written,gltf,wall_or_display_decor,quests paper written (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: white/light.,"{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written.c888eea068d32a979be67739ce3dc41c.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written.2d90e07ab5468c30256d2619b535df3d.png,[],[]
quests_paper_written_black,placeables/quests/paper_written_black,quests/paper_written_black,gltf,wall_or_display_decor,"quests paper written black (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: blue, gray/stone.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_black.e77be95d0d6c66f78752e51277529495.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_black.f758e9c2ace5a46b5635b2b89d29a64c.png,[],[]
quests_paper_written_blue,placeables/quests/paper_written_blue,quests/paper_written_blue,gltf,wall_or_display_decor,"quests paper written blue (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, blue.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_blue.ece7aa831184bcdb54693c75feea777d.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_blue.409fe58ae8dcdde56c7c5b7232b23158.png,[],[]
quests_paper_written_green,placeables/quests/paper_written_green,quests/paper_written_green,gltf,wall_or_display_decor,quests paper written green (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: green.,"{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_green.daea71d1d4082f74b795d5898b419337.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_green.965868d699e0453d50a769b7bf428960.png,[],[]
quests_paper_written_orange,placeables/quests/paper_written_orange,quests/paper_written_orange,gltf,wall_or_display_decor,"quests paper written orange (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: orange/gold, wood/brown, mixed.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_orange.a7f97bbd14085e098be35f02994e7ba3.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_orange.f9fa979e860f46725127bb5ba994c003.png,[],[]
quests_paper_written_pink,placeables/quests/paper_written_pink,quests/paper_written_pink,gltf,wall_or_display_decor,"quests paper written pink (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, red/brown, white/light, orange/gold.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_pink.3dd2db88c13aedc7d5b82309e089fe32.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_pink.09177e09fb20061c77f5cf91ebda980a.png,[],[]
quests_paper_written_purple,placeables/quests/paper_written_purple,quests/paper_written_purple,gltf,wall_or_display_decor,"quests paper written purple (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, blue, white/light.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_purple.64155c3183bc26c042dec94209cf93a2.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_purple.bfa853eec99cd34ffdb8e486f7b0ed0a.png,[],[]
quests_paper_written_red,placeables/quests/paper_written_red,quests/paper_written_red,gltf,wall_or_display_decor,"quests paper written red (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: red/brown, orange/gold.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_red.3337c4a11cfd0b82c32fb73cc7c820c3.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_red.77182a2f428b79369964c67a9b94a233.png,[],[]
quests_paper_written_white,placeables/quests/paper_written_white,quests/paper_written_white,gltf,wall_or_display_decor,quests paper written white (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: white/light.,"{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_white.c888eea068d32a979be67739ce3dc41c.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_white.2d90e07ab5468c30256d2619b535df3d.png,[],[]
quests_paper_written_yellow,placeables/quests/paper_written_yellow,quests/paper_written_yellow,gltf,wall_or_display_decor,"quests paper written yellow (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, white/light.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_written_yellow.c66425fe12d558924c6873961b30e310.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_written_yellow.50ff725d1662cd211cfcd91725090246.png,[],[]
quests_paper_yellow,placeables/quests/paper_yellow,quests/paper_yellow,gltf,wall_or_display_decor,"quests paper yellow (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: mixed, white/light.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_yellow.19c58db973fd00166e74c21530e86e74.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_yellow.51c08b10e31314ff17efb071f9c17dce.png,[],[]
quests_plate_floor,placeables/quests/plate_floor,quests/plate_floor,gltf,food_or_tabletop,"quests plate floor (food_or_tabletop); 0.5m x 0.0625m x 0.875m. Dominant colors: white/light, mixed.","{""x"":0.5,""y"":0.0625,""z"":0.875}","{""x"":0.5,""y"":0.0625,""z"":0.875}",/buckets/biomes-static/asset_data/placeables/quests/plate_floor.db06bad73ea310dff447a47600ea8b8d.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/plate_floor.023812804b8f0598ae015a1521d9a7f9.png,"[""Floor Plate""]",[]
quests_plate_wall,placeables/quests/plate_wall,quests/plate_wall,gltf,wall_or_display_decor,"quests plate wall (wall_or_display_decor); 0.0625m x 0.5m x 0.875m. Dominant colors: white/light, mixed.","{""x"":0.0625,""y"":0.5,""z"":0.875}","{""x"":0.0625,""y"":0.5,""z"":0.875}",/buckets/biomes-static/asset_data/placeables/quests/plate_wall.5b1c3ed18075d3594a12c4938a39a23c.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/plate_wall.af1e52b8c180e1009d25dca1233d9247.png,"[""Wall Plate""]",[]
quests_tools,placeables/quests/tools,quests/tools,gltf,tools_or_weapons,"quests tools (tools_or_weapons); 1m x 0.1875m x 1m. Dominant colors: white/light, blue, red/brown, mixed.","{""x"":1,""y"":0.1875,""z"":1}","{""x"":1,""y"":0.1875,""z"":1}",/buckets/biomes-static/asset_data/placeables/quests/tools.48fcb0dba927177cffb7f509176fda1f.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/tools.e7622e8bdff7cb1d64ea00390dbee67c.png,"[""Tool Pile""]",[]
quests_treasure_chest,placeables/quests/treasure_chest,quests/treasure_chest,gltf,storage_or_clutter,"quests treasure chest (storage_or_clutter); 0.875m x 0.9375m x 1m. Dominant colors: orange/gold, mixed.","{""x"":0.875,""y"":0.9375,""z"":1}","{""x"":0.875,""y"":0.9375,""z"":1}",/buckets/biomes-static/asset_data/placeables/quests/treasure_chest.6fe63e89bf1eaee197bbf6edda8f6604.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/treasure_chest.a1ec8a8b3119951b80608cb5af051366.png,"[""Chest""]",[]
record_player,placeables/record_player,record_player,gltf,actor,"record player (actor); 1m x 0.4375m x 1m. Dominant colors: blue, orange/gold, gray/stone.","{""x"":1,""y"":0.4375,""z"":1}","{""x"":1,""y"":0.4375,""z"":1}",/buckets/biomes-static/asset_data/placeables/record_player.5b30aeeaa838db4f0f85fd7e9b138d7a.gltf,/buckets/biomes-static/asset_data/icons/placeables/record_player.d32e8362b15beb3ad6d1bf1ed1d339b5.png,"[""Record Player""]",[]
record_player_animations,placeables/record_player_animations,record_player_animations,,actor,record player animations (actor); size not measured.,,,,,[],"[""missing measured size""]"
runic_stone,placeables/runic_stone,runic_stone,gltf,nature_or_resource,"runic stone (nature_or_resource); 1m x 1m x 0.9375m. Dominant colors: gray/stone, white/light, mixed, blue.","{""x"":1,""y"":1,""z"":0.9375}","{""x"":1,""y"":1,""z"":0.9375}",/buckets/biomes-static/asset_data/placeables/runic_stone.b293fa6b00b37171a7823eb997cd03e9.gltf,/buckets/biomes-static/asset_data/icons/placeables/runic_stone.8a1fb0e425bbbd6cdcb2bc22f3fbf2fc.png,"[""Deprecated Small Clearing Stone"",""Protection Stone"",""Protecto Pack I"",""Deprecated Clearing Stone"",""D-Mucker"",""Protection Stone"",""Depracated Muck Stone"",""Restoration Stone""]",[]
shop_oak_tray,placeables/shop/oak_tray,shop/oak_tray,gltf,architecture,"shop oak tray (architecture); 0.875m x 0.125m x 0.875m. Dominant colors: mixed, orange/gold.","{""x"":0.875,""y"":0.125,""z"":0.875}","{""x"":0.875,""y"":0.125,""z"":0.875}",/buckets/biomes-static/asset_data/placeables/shop/oak_tray.e76af8d8bed7d48a34206ccef5b7cb00.gltf,/buckets/biomes-static/asset_data/icons/placeables/shop/oak_tray.2b7683b55853d463edd3540db95e00e5.png,"[""Shop"",""Shop""]",[]
signs_small_oak_sign,placeables/signs/small_oak_sign,signs/small_oak_sign,gltf,wall_or_display_decor,signs small oak sign (wall_or_display_decor); 0.25m x 1.875m x 1m. Dominant colors: orange/gold.,"{""x"":0.25,""y"":1.875,""z"":1}","{""x"":0.25,""y"":1.875,""z"":1}",/buckets/biomes-static/asset_data/placeables/signs/small_oak_sign.52a76aba1232f248e99b18bb98025d7e.gltf,/buckets/biomes-static/asset_data/icons/placeables/signs/small_oak_sign.0fd8db60d154df27f656a56e593ad2b0.png,"[""Wood Sign""]",[]
